id;timeset;commclass
168;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 3]; [2002.0, 4]; [2003.0, 0]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]>"
169;<[2001.0, 2004.0]>;"<[2001.0, 1]; [2004.0, 1]>"
170;<[2001.0]>;"<[2001.0, 1]>"
171;<[2001.0]>;"<[2001.0, 1]>"
172;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 0]; [2003.0, 0]; [2004.0, 1]; [2005.0, 1]; [2006.0, 0]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]>"
173;<[2001.0, 2002.0, 2004.0, 2005.0, 2007.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 3]; [2004.0, 1]; [2005.0, 1]; [2007.0, 1]; [2009.0, 5]>"
174;<[2001.0, 2002.0, 2003.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 4]; [2003.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]>"
175;<[2001.0, 2002.0, 2003.0, 2005.0, 2006.0, 2007.0, 2008.0]>;"<[2001.0, 3]; [2002.0, 0]; [2003.0, 3]; [2005.0, 1]; [2006.0, 0]; [2007.0, 1]; [2008.0, 1]>"
176;<[2001.0, 2003.0, 2007.0, 2009.0]>;"<[2001.0, 1]; [2003.0, 1]; [2007.0, 1]; [2009.0, 5]>"
177;<[2001.0]>;"<[2001.0, 1]>"
178;<[2001.0]>;"<[2001.0, 1]>"
179;<[2001.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]>"
180;<[2001.0, 2002.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 3]; [2002.0, 4]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 4]>"
181;<[2001.0, 2005.0]>;"<[2001.0, 5]; [2005.0, 1]>"
182;<[2001.0]>;"<[2001.0, 1]>"
183;<[2001.0, 2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 1]; [2003.0, 1]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]>"
