Source;Target;Type;Weight;CommLink
10001;2943;Directed;0.001;11
10001;2944;Directed;0.001;11
10001;2945;Directed;0.001;11
10001;2946;Directed;0.001;11
10001;2947;Directed;0.001;11
10001;2948;Directed;0.001;11
10001;2949;Directed;0.001;11
10001;2950;Directed;0.001;11
10001;2951;Directed;0.001;11
10001;2952;Directed;0.001;11
10001;2953;Directed;0.001;11
10001;2954;Directed;0.001;11
10001;2955;Directed;0.001;11
10001;2956;Directed;0.001;11
10001;2957;Directed;0.001;11
10001;2958;Directed;0.001;11
10001;2959;Directed;0.001;11
10001;2960;Directed;0.001;11
10001;2961;Directed;0.001;11
10001;2962;Directed;0.001;11
10001;2963;Directed;0.001;11
10001;2964;Directed;0.001;11
10001;2965;Directed;0.001;11
10001;2966;Directed;0.001;11
10001;2967;Directed;0.001;11
10001;2968;Directed;0.001;11
10001;2969;Directed;0.001;11
10001;2970;Directed;0.001;11
10001;2971;Directed;0.001;11
10001;2972;Directed;0.001;11
10001;2973;Directed;0.001;11
10001;2974;Directed;0.001;11
10001;2975;Directed;0.001;11
10001;2976;Directed;0.001;11
10001;2977;Directed;0.001;11
10001;2978;Directed;0.001;11
10001;2979;Directed;0.001;11
10001;2980;Directed;0.001;11
10001;2981;Directed;0.001;11
10001;2982;Directed;0.001;11
10001;2983;Directed;0.001;11
10001;2984;Directed;0.001;11
10001;2985;Directed;0.001;11
10001;2986;Directed;0.001;11
10001;2987;Directed;0.001;11
10001;2988;Directed;0.001;11
10001;2989;Directed;0.001;11
10001;2990;Directed;0.001;11
10001;2991;Directed;0.001;11
10001;2992;Directed;0.001;11
10001;2993;Directed;0.001;11
10001;2994;Directed;0.001;11
10001;2995;Directed;0.001;11
10001;2996;Directed;0.001;11
10001;2997;Directed;0.001;11
10001;2998;Directed;0.001;11
10001;2999;Directed;0.001;11
10001;3000;Directed;0.001;11
10001;3001;Directed;0.001;11
10001;3002;Directed;0.001;11
10001;3003;Directed;0.001;11
10001;3004;Directed;0.001;11
10001;3005;Directed;0.001;11
10001;3006;Directed;0.001;11
10001;3007;Directed;0.001;11
10001;3008;Directed;0.001;11
10001;3009;Directed;0.001;11
10001;3010;Directed;0.001;11
10001;3011;Directed;0.001;11
10001;3012;Directed;0.001;11
10001;3013;Directed;0.001;11
10001;3014;Directed;0.001;11
10001;3015;Directed;0.001;11
10001;3016;Directed;0.001;11
10001;3017;Directed;0.001;11
10001;3018;Directed;0.001;11
10001;3019;Directed;0.001;11
10001;3020;Directed;0.001;11
10001;3021;Directed;0.001;11
10001;3022;Directed;0.001;11
10001;3023;Directed;0.001;11
10001;3024;Directed;0.001;11
10001;3025;Directed;0.001;11
10001;3026;Directed;0.001;11
10001;3027;Directed;0.001;11
10001;3028;Directed;0.001;11
10001;3029;Directed;0.001;11
10001;3030;Directed;0.001;11
10001;3031;Directed;0.001;11
10001;3032;Directed;0.001;11
10001;3033;Directed;0.001;11
10001;3034;Directed;0.001;11
10001;3035;Directed;0.001;11
10001;3036;Directed;0.001;11
10001;3037;Directed;0.001;11
10001;3038;Directed;0.001;11
10001;3039;Directed;0.001;11
10001;3040;Directed;0.001;11
10001;3041;Directed;0.001;11
10001;3042;Directed;0.001;11
10001;3043;Directed;0.001;11
10001;3044;Directed;0.001;11
10001;3045;Directed;0.001;11
10001;3046;Directed;0.001;11
